,GeoFIPS,GeoName,county_name,state_alpha,year,GDP_PI
147,5063,"Independence, AR",Independence,AR,2001,1196054.0
148,5065,"Izard, AR",Izard,AR,2001,144351.0
149,5067,"Jackson, AR",Jackson,AR,2001,294066.0
150,5069,"Jefferson, AR",Jefferson,AR,2001,2058451.0
151,5071,"Johnson, AR",Johnson,AR,2001,393945.0
152,5073,"Lafayette, AR",Lafayette,AR,2001,146635.0
153,5075,"Lawrence, AR",Lawrence,AR,2001,241010.0
154,5077,"Lee, AR",Lee,AR,2001,123712.0
155,5079,"Lincoln, AR",Lincoln,AR,2001,125144.0
156,5081,"Little River, AR",Little River,AR,2001,297456.0
157,5083,"Logan, AR",Logan,AR,2001,315960.0
158,5085,"Lonoke, AR",Lonoke,AR,2001,623115.0
159,5087,"Madison, AR",Madison,AR,2001,184904.0
160,5089,"Marion, AR",Marion,AR,2001,178157.0
161,5091,"Miller, AR",Miller,AR,2001,828959.0
162,5093,"Mississippi, AR",Mississippi,AR,2001,1373760.0
163,5095,"Monroe, AR",Monroe,AR,2001,126807.0
164,5097,"Montgomery, AR",Montgomery,AR,2001,96810.0
165,5099,"Nevada, AR",Nevada,AR,2001,137832.0
166,5101,"Newton, AR",Newton,AR,2001,51564.0
167,5103,"Ouachita, AR",Ouachita,AR,2001,347237.0
168,5105,"Perry, AR",Perry,AR,2001,74900.0
169,5107,"Phillips, AR",Phillips,AR,2001,331391.0
170,5109,"Pike, AR",Pike,AR,2001,151942.0
171,5111,"Poinsett, AR",Poinsett,AR,2001,352774.0
172,5113,"Polk, AR",Polk,AR,2001,309539.0
173,5115,"Pope, AR",Pope,AR,2001,1665342.0
174,5117,"Prairie, AR",Prairie,AR,2001,103334.0
175,5119,"Pulaski, AR",Pulaski,AR,2001,14171823.0
176,5121,"Randolph, AR",Randolph,AR,2001,230698.0
177,5123,"St. Francis, AR",St. Francis,AR,2001,433628.0
178,5125,"Saline, AR",Saline,AR,2001,952251.0
179,5127,"Scott, AR",Scott,AR,2001,174120.0
180,5129,"Searcy, AR",Searcy,AR,2001,71757.0
181,5131,"Sebastian, AR",Sebastian,AR,2001,4095321.0
182,5133,"Sevier, AR",Sevier,AR,2001,315478.0
183,5135,"Sharp, AR",Sharp,AR,2001,181829.0
184,5137,"Stone, AR",Stone,AR,2001,137790.0
185,5139,"Union, AR",Union,AR,2001,1499406.0
186,5141,"Van Buren, AR",Van Buren,AR,2001,206002.0
187,5143,"Washington, AR",Washington,AR,2001,4349069.0
188,5145,"White, AR",White,AR,2001,1155559.0
189,5147,"Woodruff, AR",Woodruff,AR,2001,139639.0
190,5149,"Yell, AR",Yell,AR,2001,340661.0
191,6001,"Alameda, CA",Alameda,CA,2001,58446531.0
192,6003,"Alpine, CA",Alpine,CA,2001,49964.0
193,6005,"Amador, CA",Amador,CA,2001,733810.0
194,6007,"Butte, CA",Butte,CA,2001,3992372.0
195,6009,"Calaveras, CA",Calaveras,CA,2001,625612.0
