,GeoFIPS,GeoName,county_name,state_alpha,GDP_PI_2001,GDP_PI_2002,GDP_PI_2003,GDP_PI_2004,GDP_PI_2005,GDP_PI_2006,GDP_PI_2007,GDP_PI_2008,GDP_PI_2009,GDP_PI_2010,GDP_PI_2011,GDP_PI_2012,GDP_PI_2013,GDP_PI_2014,GDP_PI_2015,GDP_PI_2016,GDP_PI_2017,GDP_PI_2018,GDP_PI_2019,GDP_PI_2020,GDP_PI_2021,GDP_PI_2022,GDP_PI_2023,GDP_PI_2024
1640,30059,"Meagher, MT",Meagher,MT,29706,26341,27860,35102,38279,39323,34420,36191,37579,44744,62302,61782,60747,73914,68101,46071,51178,48712,54067,47166,63049,69854,80181,78070
1641,30061,"Mineral, MT",Mineral,MT,44854,47733,49101,51565,55441,61045,62293,58636,57672,62972,66569,67904,78963,80709,82148,78662,88090,85001,82946,84558,111875,105962,120757,132213
1642,30063,"Missoula, MT",Missoula,MT,2344694,2516550,2654911,2840279,3003716,3190470,3344105,3485220,3505320,3500879,3570186,3622156,3746253,3924518,4162724,4278599,4673961,4861246,5134127,5220984,6149516,6578808,7421028,7906071
1643,30065,"Musselshell, MT",Musselshell,MT,42923,49409,47127,53313,57562,73712,59298,66295,128695,309209,361252,374343,350518,325998,291592,235711,237284,257007,263603,286265,315303,464276,449069,494549
1644,30067,"Park, MT",Park,MT,265382,294944,293564,307230,328064,362651,360799,395966,379168,393868,445961,411487,434752,454791,485775,487870,538515,567911,593641,587148,706371,698580,811710,823643
1645,30069,"Petroleum, MT",Petroleum,MT,6197,4254,8261,6296,8015,7505,9421,18300,16366,10360,16248,25564,33721,38366,27628,18104,6775,9680,10668,9246,6659,16774,18078,19192
1646,30071,"Phillips, MT",Phillips,MT,75259,74486,86678,110715,115105,93357,125851,131437,105357,116933,124260,129748,119832,105535,102316,97520,97322,110311,105741,108295,117266,161589,154849,133377
1647,30073,"Pondera, MT",Pondera,MT,81333,115577,108211,135131,133303,156186,145218,204457,208902,163828,218146,187675,205582,181656,151038,171237,154095,207899,243267,239460,189510,298492,352359,273343
1648,30075,"Powder River, MT",Powder River,MT,25567,23121,24286,21346,26007,31931,27823,29290,34811,33131,36006,53039,60321,90965,102438,87801,84108,89853,85175,72610,115207,189254,132644,138279
1649,30077,"Powell, MT",Powell,MT,70347,75083,74151,75240,76141,89474,81480,91155,95932,98960,106679,100725,122036,136295,140108,136705,134896,138071,144439,137511,152497,183527,230683,247797
1650,30079,"Prairie, MT",Prairie,MT,22165,14050,23804,23270,26311,18128,23374,18731,14925,14751,15780,26557,29011,40505,46546,42202,39856,32448,24828,26187,20105,37415,35419,43695
1651,30081,"Ravalli, MT",Ravalli,MT,473933,526529,541257,586874,655967,691592,716603,696440,679791,696645,706605,744721,771012,817630,855440,875641,952561,969494,1055547,1100235,1274091,1387403,1580498,1692165
1652,30083,"Richland, MT",Richland,MT,220682,205330,240260,316501,454844,558418,625682,766997,634946,724569,879330,1062793,1235169,1277654,993867,823682,797233,800798,812703,694686,826457,1000276,1043630,1120015
1653,30085,"Roosevelt, MT",Roosevelt,MT,121663,147783,144286,160354,155790,141769,174337,182993,196047,240465,215088,368773,415424,357589,291248,293878,332082,343511,311827,272471,350482,383662,373334,395682
1654,30087,"Rosebud, MT",Rosebud,MT,645019,533152,622718,641099,686355,726507,855184,887594,895241,964324,898566,809240,701741,718966,790142,716619,711971,666605,727359,612753,678692,861477,939501,935321
1655,30089,"Sanders, MT",Sanders,MT,147767,174673,175910,184942,189488,219964,228559,224674,232453,234768,253288,257460,268777,284668,286920,288014,303915,296892,311126,341613,398734,413845,468986,488109
1656,30091,"Sheridan, MT",Sheridan,MT,72932,84026,96348,103134,94863,80245,161464,205071,242504,222484,206303,266176,246648,178204,154430,158990,135302,141127,148439,165634,188832,194452,178689,212244
1657,30093,"Silver Bow, MT",Silver Bow,MT,673120,714222,741032,816903,920860,950260,1000657,1079642,1074177,1109059,1194305,1182875,1193580,1162527,1206280,1228163,1266023,1294466,1364181,1379902,1587546,1732701,1894349,1941603
1658,30095,"Stillwater, MT",Stillwater,MT,279438,242251,253108,276904,325293,335409,364179,379038,406573,471981,554628,539032,571104,547159,481199,417854,490380,514006,578860,721498,857281,753819,712863,684643
1659,30097,"Sweet Grass, MT",Sweet Grass,MT,100709,95084,101770,108598,135410,169248,203528,202371,138346,129618,155834,179735,182265,186209,175415,159983,203195,198520,236300,269261,326866,278833,282274,297321
1660,30099,"Teton, MT",Teton,MT,101426,114196,115850,143962,148423,139871,157684,203581,198205,182360,254410,216382,218734,205183,192435,203418,195085,228818,241915,248614,214327,307360,331791,265520
1661,30101,"Toole, MT",Toole,MT,100100,112808,127841,136621,155622,188320,170025,205142,182466,179134,214976,242486,256244,251732,230815,249284,222939,293713,307874,308268,280760,415444,456883,434097
1662,30103,"Treasure, MT",Treasure,MT,34059,24570,34980,45841,47328,50328,77549,91053,83300,68160,69054,63404,81625,130467,126203,124192,96583,99663,95851,81605,51890,89346,93457,104547
1663,30105,"Valley, MT",Valley,MT,146374,164752,170206,193221,198080,161499,189081,208958,159873,209292,215664,281169,301893,267791,253287,264117,276447,257734,264666,272852,402949,382928,331526,324985
1664,30107,"Wheatland, MT",Wheatland,MT,23167,23771,17745,22504,27462,35967,32459,39356,46349,53224,63876,73076,79598,92745,86820,85387,56662,69971,76986,80131,80229,102510,102568,94851
1665,30109,"Wibaux, MT",Wibaux,MT,18747,15563,21125,18726,26527,21963,30304,34352,26817,38250,38290,54626,54891,45495,32212,31883,37148,33124,35795,30676,44063,46377,44574,49062
1666,30111,"Yellowstone, MT",Yellowstone,MT,3767248,3900458,4388023,4830244,5124504,5630559,6561775,6290984,5690243,6137161,6997419,7363552,7452135,7958001,8364047,7536786,8521746,9221911,8765377,8231545,9758472,11851975,12425103,12942122
1667,31001,"Adams, NE",Adams,NE,796700,825804,850849,872239,985749,1112568,1235398,1303118,1254321,1229426,1399437,1468931,1651037,1640609,1630533,1666226,1642403,1675722,1739467,1710063,2031760,2260468,2363101,2412554
1668,31003,"Antelope, NE",Antelope,NE,145752,158027,187190,204537,227504,211272,258953,250927,262428,279679,335191,314112,343279,352820,340915,424510,386821,398636,493983,568546,649616,721872,815092,740959
1669,31005,"Arthur, NE",Arthur,NE,3892,4898,5226,5816,6043,7425,4141,4042,4135,6361,11231,4016,7518,19268,23493,17103,16624,12950,15484,16227,16313,14095,27146,29120
1670,31007,"Banner, NE",Banner,NE,9203,8152,22629,19465,25403,21154,19148,23897,8647,22621,44009,33316,54018,63252,66278,70485,32935,31946,34337,33365,41523,48662,52850,42999
1671,31009,"Blaine, NE",Blaine,NE,9247,11518,14351,12035,10993,8089,8406,8290,6303,10944,17478,12562,27288,41770,46187,40170,25970,24430,22465,21781,20145,21454,35319,44014
1672,31011,"Boone, NE",Boone,NE,138839,156998,163188,171623,183654,176159,209871,210408,235193,289938,390589,348447,413609,390032,359485,346453,294905,334495,384881,398484,501069,493008,570739,506861
1673,31013,"Box Butte, NE",Box Butte,NE,278693,270794,306839,323532,358919,370026,382824,428688,380904,386539,485988,535028,524020,543726,531160,509315,541029,545103,543928,508943,558961,588006,601824,619535
1674,31015,"Boyd, NE",Boyd,NE,31121,26704,41128,36640,42786,43192,43625,49361,55681,66745,86159,70349,65371,78680,86934,87961,102260,106851,104836,89273,122829,149082,129199,126621
1675,31017,"Brown, NE",Brown,NE,42258,46173,62151,63694,85445,87726,75886,66729,66477,98801,133233,126095,163160,205229,224873,247102,172750,168474,183149,179821,191568,185792,235021,221761
1676,31019,"Buffalo, NE",Buffalo,NE,1238274,1248513,1374350,1402639,1466437,1537452,1670441,1697077,1612236,1780132,1987602,2183279,2263593,2261228,2296470,2355843,2410434,2670074,2854800,2853066,3429127,3662107,3891917,3983152
1677,31021,"Burt, NE",Burt,NE,112632,116235,132955,145426,137411,121074,167082,184391,194162,207063,236024,222798,240229,224091,240776,228356,240478,263441,277571,251226,356384,349336,375898,388353
1678,31023,"Butler, NE",Butler,NE,132155,117518,145107,178670,159963,149009,214607,227641,226020,222225,292439,254974,285486,271323,263484,195036,207550,235972,260081,293373,394707,447676,483341,514077
1679,31025,"Cass, NE",Cass,NE,293190,283750,322384,366823,365405,374044,424722,433716,465171,472573,575236,518755,547603,532072,559752,568717,609342,652551,685042,715741,869979,921172,1047299,1005672
1680,31027,"Cedar, NE",Cedar,NE,184537,191316,204102,242433,233682,218664,249059,247942,254837,308818,403301,325041,339593,312228,329317,333871,307791,347199,349867,395609,518256,525318,556974,494281
1681,31029,"Chase, NE",Chase,NE,94830,102064,125923,124952,131527,125034,148964,152269,104058,152165,172337,260967,278536,240485,248694,306928,293952,276706,295147,305787,374640,415392,410748,386682
1682,31031,"Cherry, NE",Cherry,NE,84224,95719,125428,125826,130019,119194,101599,99617,105438,132048,189394,196741,256596,330798,350290,324982,254939,235751,230333,260760,276438,286517,380733,424398
1683,31033,"Cheyenne, NE",Cheyenne,NE,279317,285055,355653,371464,387192,421375,500309,552498,508088,542417,650595,677305,724710,715183,668963,688589,681991,556203,504868,485882,547365,627195,608859,617217
1684,31035,"Clay, NE",Clay,NE,123287,122779,162681,176160,197940,165928,192564,230804,193908,222811,320883,291427,367238,304843,264849,266928,220888,230522,273719,290058,395759,384172,430285,396639
1685,31037,"Colfax, NE",Colfax,NE,276671,303693,315765,324418,338766,373850,354877,482065,660145,657974,447554,439834,477042,503024,561997,605595,585557,622008,638257,694066,893892,848449,947613,958799
1686,31039,"Cuming, NE",Cuming,NE,325245,391214,376296,371721,398505,431012,417730,391864,428701,544226,689513,561776,689512,793336,860979,915146,778119,785455,758168,717571,847343,898301,1046268,1006966
1687,31041,"Custer, NE",Custer,NE,258668,241261,302595,242699,253392,217196,313036,364546,362938,426403,574214,545137,687501,690983,725831,777517,595563,586600,595623,651950,742573,759286,887386,799082
1688,31043,"Dakota, NE",Dakota,NE,1009978,620922,661814,675717,780073,869342,840276,878555,920614,965379,1006532,1006527,1022314,1090504,1187022,1238368,1360743,1444434,1507801,1493635,1803192,2019131,2226719,2289475
1689,31045,"Dawes, NE",Dawes,NE,118449,132779,144620,140591,154684,152727,169952,167826,163404,171586,208763,201370,197881,226984,227027,218989,191852,185112,195457,220257,236384,233584,262363,280428
1690,31047,"Dawson, NE",Dawson,NE,630383,670606,696538,675031,768260,861846,866470,868253,842033,909266,1031096,1057396,1197894,1268148,1303516,1310358,1256778,1292724,1341818,1410881,1684913,1699655,1896952,1964759
1691,31049,"Deuel, NE",Deuel,NE,34606,34611,53790,36681,33269,30433,47153,47157,41721,38142,82416,61178,69419,64774,67764,71391,54011,79733,72078,65772,82413,122514,88166,70394
1692,31051,"Dixon, NE",Dixon,NE,104357,113858,114070,123698,134102,111828,121807,152766,168693,200365,197184,176365,184560,171194,170902,159990,148239,170524,244940,271791,391893,404046,462635,447549
1693,31053,"Dodge, NE",Dodge,NE,911172,904696,925624,997829,1031672,1146361,1183148,1240689,1264455,1293077,1416614,1424010,1513295,1524153,1584578,1584835,1692393,1805532,1897445,2046032,2420889,2607557,2728792,2812169
1694,31055,"Douglas, NE",Douglas,NE,20304049,21031443,22336918,24066194,25865310,27690593,29471947,29031221,29619277,30847326,33657100,34829878,34607906,38305043,40523753,40949210,44049117,45403451,46905612,46691775,50402948,59601371,65529773,68130444
1695,31057,"Dundy, NE",Dundy,NE,39155,33395,49310,42406,52575,53818,78653,87532,75052,103687,117298,119220,135635,130695,149335,147363,149427,147248,161602,174451,182518,211985,213092,216664
1696,31059,"Fillmore, NE",Fillmore,NE,143761,151737,164668,173019,161105,135083,208757,254762,227066,230577,329785,335666,395087,323523,313487,263628,302196,306090,318791,321879,456828,448647,516786,495776
1697,31061,"Franklin, NE",Franklin,NE,45149,34168,59446,62725,59806,53035,67477,78599,74958,67213,93417,91344,104624,78916,67259,56730,55046,53167,60925,78809,113937,105462,139696,100287
1698,31063,"Frontier, NE",Frontier,NE,60681,46724,71372,64245,69792,54659,71820,76821,86048,89015,122262,108010,122950,101935,101544,87921,66303,57316,63272,77989,112837,116058,122204,76154
1699,31065,"Furnas, NE",Furnas,NE,110122,85892,139546,118292,141828,114964,162521,218441,198849,245067,296091,215244,274134,241710,223509,196862,215712,209628,200511,231456,292233,308207,337457,260656
1700,31067,"Gage, NE",Gage,NE,470706,457754,499145,563632,592650,614896,588722,634001,623569,660962,781241,740396,810326,757825,733963,711147,708049,788724,817034,864152,1094925,1204456,1365456,1407804
1701,31069,"Garden, NE",Garden,NE,23993,27319,45048,38013,40624,46252,57895,62323,46590,44372,79154,46705,61328,71767,69815,64687,67054,64192,65031,66141,75926,88970,92397,92384
1702,31071,"Garfield, NE",Garfield,NE,33222,38191,41100,41449,46837,46682,51288,50998,50669,57085,82229,72024,91973,98743,110545,101217,61489,62261,70622,80364,80484,80996,103423,101256
1703,31073,"Gosper, NE",Gosper,NE,37176,23842,49916,45480,50578,45805,67745,63565,62556,63635,92176,87196,121668,99613,89278,72930,69920,69413,70273,78097,107058,113612,135564,108880
1704,31075,"Grant, NE",Grant,NE,7820,7620,10904,10908,13510,10896,9254,9184,8842,14297,19061,12209,21227,32833,43170,34662,28948,26430,22171,23413,24855,23610,33185,42884
