,state_code,county_code,county_sub_code,cntyname,town_name,hud_areaname,fips,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,hud_area_code,pop2023,state_alpha,year,population,cbsasub21,county,cousub,pop2017,hu2017,cbsasub20,cbsasub19,pop2010,hu2010,cbsasub18,areaname18,cbsasub,pop,fmr_area,msa,stco,fmrtype,statename,fmrarea,id_agis2,pop2020,areaname22,cbsasub22
86171,36,,,Wayne County,,"Rochester, NY MSA",,424.0,552.0,669.0,859.0,938.0,,,NY,2004,,,117.0,,,,,,,,,,,93765.0,,6840.0,,40.0,New York,,,,,
86172,36,,,Cayuga County,,"Syracuse, NY MSA",,422.0,508.0,629.0,803.0,890.0,,,NY,2004,,,11.0,,,,,,,,,,,81963.0,,8160.0,,40.0,New York,,,,,
86173,36,,,Madison County,,"Syracuse, NY MSA",,422.0,508.0,629.0,803.0,890.0,,,NY,2004,,,53.0,,,,,,,,,,,69441.0,,8160.0,,40.0,New York,,,,,
86174,36,,,Onondaga County,,"Syracuse, NY MSA",,422.0,508.0,629.0,803.0,890.0,,,NY,2004,,,67.0,,,,,,,,,,,458336.0,,8160.0,,40.0,New York,,,,,
86175,36,,,Oswego County,,"Syracuse, NY MSA",,422.0,508.0,629.0,803.0,890.0,,,NY,2004,,,75.0,,,,,,,,,,,122377.0,,8160.0,,40.0,New York,,,,,
86176,36,,,Herkimer County,,"Utica--Rome, NY MSA",,398.0,447.0,538.0,695.0,795.0,,,NY,2004,,,43.0,,,,,,,,,,,64427.0,,8680.0,,40.0,New York,,,,,
86177,36,,,Oneida County,,"Utica--Rome, NY MSA",,398.0,447.0,538.0,695.0,795.0,,,NY,2004,,,65.0,,,,,,,,,,,235469.0,,8680.0,,40.0,New York,,,,,
86178,36,,,Allegany County,,,,399.0,447.0,539.0,696.0,796.0,,,NY,2004,,,3.0,,,,,,,,,,,49927.0,,10000.0,,40.0,New York,,,,,
86179,36,,,Cattaraugus County,,,,399.0,447.0,539.0,696.0,796.0,,,NY,2004,,,9.0,,,,,,,,,,,83955.0,,10000.0,,40.0,New York,,,,,
86180,36,,,Chenango County,,,,425.0,447.0,539.0,696.0,796.0,,,NY,2004,,,17.0,,,,,,,,,,,51401.0,,10000.0,,40.0,New York,,,,,
